person_id,person_name,person_name_cn,year,city,country,place_raw,domain,sources,contribution
alec-radford,Alec Radford,亚历克·拉德福,1993,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1994,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1995,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1996,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1997,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1998,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,1999,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,2000,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,2001,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,2002,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,2003,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
alec-radford,Alec Radford,亚历克·拉德福,2004,Irving,US,"Irving, TX, USA",工业,native,推动 GPT 系列早期落地：把“通用续写/通用生成”这条路线打通，让语言模型从 NLP 组件变成通用能力底座。
